"","X","Y"
"1",446718.592974567,4434267.86725896
"2",450622.294637162,4434493.50535525
"3",447929.18585059,4434418.35924585
"4",451811.797925404,4433423.03457478
"5",449973.370176869,4434558.75457326
"6",449650.770026347,4433597.86857069
"7",447528.465101296,4434054.03247631
"8",451692.971337346,4434619.99480049
"9",450688.156479593,4433946.71585307
"10",450627.799411701,4435161.91140726
"11",452907.685206598,4433952.94302465
"12",452588.155375963,4434873.64855258
"13",450529.949261078,4433610.68809216
"14",449013.381437429,4434994.13931981
"15",453324.859796194,4435410.87807482
"16",451992.821372524,4433983.34889635
"17",449962.558460887,4434965.40625247
"18",450692.30938324,4434360.20467735
"19",447514.147507897,4434756.80712971
"20",451483.769719942,4433518.16042194
"21",449288.094839736,4435028.50554256
"22",449923.542025262,4433352.71570072
"23",448156.994866577,4433985.40878286
"24",451807.802970764,4434718.17297049
"25",450396.096972837,4433684.91559898
"26",449340.00526822,4435318.5051665
"27",452879.041826226,4435065.77592971
"28",452485.619464319,4433916.00534168
"29",450440.833489352,4434614.01383546
"30",448432.755973726,4434443.68223547
"31",451450.458819677,4433815.56129294
"32",452278.522000576,4433923.42147147
"33",449120.577030132,4434293.6280517
"34",450922.430707626,4434951.50993194
"35",447252.396414069,4434497.66718995
"36",451299.497041099,4433714.9842651
"37",449464.367628,4434696.78410125
"38",449416.252061478,4433681.23489725
"39",448826.941390951,4434182.35276144
"40",452540.873119746,4434623.06526939
"41",450422.562075293,4434090.17473128
"42",448257.585064607,4434796.09533882
"43",452878.062613885,4434654.71889094
"44",452779.673303041,4434119.06006791
"45",450032.935872587,4434566.89891418
"46",448124.739576472,4434331.9285248
"47",451276.904783945,4433821.74801381
"48",451890.989486732,4433174.32040699
"49",449169.071867722,4434486.6758352
"50",449303.860544172,4433814.03917202
"51",447656.744447704,4433989.73684363
"52",451501.236968737,4434436.65189389
"53",450666.041112813,4434172.49765551
"54",449599.770442388,4434167.32383696
"55",448705.543497622,4433905.34793765
"56",452210.693076862,4434372.40932507
"57",450426.791538319,4433760.06308912
"58",448964.75726252,4434232.55333806
"59",453092.905260425,4434578.49303566
"60",451940.069946049,4433420.7795771
"61",450389.646149669,4435041.6000845
"62",448020.988493997,4435087.14135906
"63",451013.254769808,4434064.61970339
"64",451987.216358033,4433084.51428972
"65",446837.107277944,4434395.22408171
"66",450780.356255434,4434569.68523685
"67",447984.801841396,4434218.58997504
"68",451822.301095584,4433570.53667579
"69",449577.415325714,4434369.26936383
"70",449570.751854166,4433513.95649317
"71",448493.402191811,4433827.36337739
"72",451292.398850398,4434266.45870816
"73",450482.31800326,4433945.92017876
"74",450255.460494272,4435186.85968702
"75",453358.232593069,4434997.86846672
"76",452630.471666383,4435062.61274739
"77",450717.454858346,4433451.35018439
"78",448605.749121507,4434692.19011702
"79",452906.290518121,4435205.16837463
"80",452337.077738789,4434014.08979406
"81",449602.064172868,4435145.1316075
"82",450580.160409953,4434282.7513658
"83",447482.316819473,4434328.11173452
"84",451352.279565409,4433399.71575174
"85",449490.575764677,4435004.17610375
"86",449883.325732733,4433375.13896935
"87",448317.444473094,4434002.83792784
"88",452826.047216727,4434546.57348993
"89",450074.195313697,4433459.17572798
"90",448503.05326076,4434799.40395974
"91",452983.313316858,4434754.7954738
"92",452549.119103722,4434018.92589545
"93",450339.471308313,4434250.40229118
"94",448543.660693399,4434346.18972037
"95",451883.29256673,4434211.81188873
"96",452096.941081349,4433782.0632617
"97",449457.975685871,4434438.59694576
"98",450474.75654684,4434931.19183068
"99",447531.975531227,4434464.20070191
"100",451318.109402454,4433729.42899365
"101",449229.062600279,4434956.08528916
"102",449897.128433117,4433915.38983614
"103",448758.494888364,4434158.26822703
"104",452726.116049819,4434357.48191809
"105",450113.4040801,4433814.85458916
"106",448162.664142241,4434738.16771598
"107",452957.782638245,4434593.74906627
"108",452715.830781491,4434176.42937289
"109",450239.426914068,4434721.4722348
"110",448018.610062502,4434704.60492096
"111",451307.024453874,4433874.89803804
"112",451800.242865817,4433053.33300755
"113",449063.135025086,4434641.59691897
"114",449234.642584451,4433807.56840136
"115",447811.600469312,4433944.06562093
"116",451611.050328664,4434377.22370148
"117",450864.798361255,4433794.45284451
"118",449722.828168413,4434210.56583616
"119",448801.664365775,4433784.31344815
"120",452095.420146499,4434368.61388754
"121",450768.271717371,4433646.26236613
"122",448902.56830731,4434597.05854528
"123",453492.38805354,4435179.45301787
"124",452231.83515026,4433290.65681722
"125",450408.869304393,4435107.16264184
"126",448015.073612585,4434552.24959959
"127",451328.182538819,4434047.52566178
"128",452080.837115409,4433188.14128018
"129",447109.193564542,4434563.17860425
"130",450777.599717534,4434339.64939239
"131",447653.994929203,4434474.78417658
"132",451466.672327652,4433298.88770524
"133",449586.033502958,4434316.0641278
"134",449900.241475356,4433656.62321292
"135",448488.332575013,4433768.92817632
"136",451412.229343073,4434340.69934976
"137",450075.203004744,4433610.13474107
"138",449662.475680878,4435310.92550617
"139",453178.61264841,4434713.00680734
"140",452690.709806125,4433733.97284122
"141",450177.623084361,4434327.91112391
"142",449014.226068028,4434755.58371628
"143",451654.482576283,4434027.3650329
"144",452358.519525567,4434160.63030424
"145",449906.767590316,4434861.45323592
"146",450574.545831993,4434762.13518754
"147",447269.458285486,4434278.35359316
"148",451200.099374308,4433463.52768407
"149",449099.863584117,4434908.60087114
"150",449098.233084909,4433603.67684084
"151",448972.639082445,4433704.7131331
"152",452793.611044663,4434454.30215727
"153",450220.178020809,4434141.1869246
"154",448483.157670228,4434768.38229036
"155",452901.701564652,4434701.64691832
"156",452480.825583535,4434070.92302069
"157",450297.231312257,4434323.61612051
"158",448332.724783934,4434557.13039319
"159",451713.359765314,4434049.91644895
"160",452088.863187924,4433881.34724272
"161",449370.142550297,4434639.30470048
"162",449312.844227479,4434108.8333791
"163",447621.695267501,4434450.26464247
"164",450985.907413712,4433649.98886996
"165",449161.9654983,4434943.07287415
"166",449774.647312753,4433795.04554982
"167",448802.919516827,4434023.16781475
"168",452671.847607418,4434358.09098589
"169",450074.042300141,4433873.74348151
"170",448792.073514879,4434537.51223642
"171",453048.287970392,4434377.27626105
"172",452122.230905974,4433609.38692912
"173",450200.110848141,4434883.52751392
"174",447973.780679977,4434857.15090323
"175",451134.028417706,4433758.11499231
"176",451061.702563395,4433222.62645208
"177",449918.292418417,4434415.12145844
"178",449117.490576433,4433894.03104668
"179",448002.011316618,4434004.59408093
"180",451754.897149166,4434435.81708236
"181",450945.788896446,4434106.78066082
"182",449554.366162416,4433875.51384627
"183",453110.004273196,4434164.16026645
"184",452569.993497903,4435045.96914856
"185",450523.711407634,4433500.14830837
"186",449037.989721362,4434639.20771342
